Waiting for GPS Fix
GPS Fix obtained at;13:59:12.000:000:000:;Date:9/12/2021
Lifetime;308002;14:15:58.184:364:608:;
Lifetime;018188;14:16:01.006:175:721:;
Lifetime;215089;14:16:02.091:234:192:;
Lifetime;355235;14:16:02.108:165:696:;
Lifetime;018115;14:16:02.123:840:112:;
Lifetime;105274;14:16:03.151:131:072:;
Lifetime;234501;14:16:04.021:209:262:;
Lifetime;018136;14:16:06.632:487:616:;
Lifetime;017991;14:16:07.040:544:916:;
Lifetime;386178;14:16:11.035:272:864:;
Lifetime;021987;14:16:12.708:495:040:;
Lifetime;018060;14:16:14.959:838:976:;
Lifetime;329584;14:16:15.307:019:328:;
Lifetime;249758;14:16:18.072:622:800:;
Lifetime;097923;14:16:19.322:198:304:;
Lifetime;018059;14:16:21.113:412:000:;
Lifetime;140140;14:16:26.128:227:280:;
Lifetime;214813;14:16:36.384:956:704:;
Lifetime;017990;14:16:38.881:296:448:;
Lifetime;018057;14:16:47.636:574:528:;
Lifetime;021984;14:16:48.133:576:344:;
Lifetime;018064;14:16:49.083:882:712:;
Lifetime;018063;14:16:55.839:337:856:;
Lifetime;021917;14:16:57.647:578:240:;
Lifetime;018064;14:17:01.281:293:120:;
Lifetime;018066;14:17:03.867:697:344:;
Lifetime;018064;14:17:05.137:985:264:;
Lifetime;040740;14:17:10.274:677:568:;
Lifetime;018065;14:17:10.631:047:104:;
Lifetime;239169;14:17:12.799:230:592:;
Lifetime;018191;14:17:22.102:098:600:;
Lifetime;018066;14:17:24.677:297:792:;
Lifetime;018066;14:17:24.815:490:880:;
Lifetime;133169;14:17:29.252:809:440:;
Lifetime;204399;14:17:31.184:119:472:;
Lifetime;363481;14:17:32.222:929:008:;
Lifetime;059488;14:17:38.225:969:328:;
Lifetime;375067;14:17:42.871:218:304:;
Lifetime;031264;14:17:46.960:957:888:;
Lifetime;132337;14:17:47.009:852:794:;
Lifetime;132088;14:17:47.298:814:784:;
Lifetime;018064;14:17:49.136:776:160:;
Lifetime;021863;14:17:51.429:216:512:;
Lifetime;018063;14:17:58.810:897:664:;
Lifetime;017989;14:17:59.534:182:976:;
Lifetime;018060;14:18:00.106:460:840:;
Lifetime;097167;14:18:02.858:096:256:;
Lifetime;018060;14:18:06.162:228:352:;
