=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:05:30.669:822:336:;
Coincidence;15:05:30.877:725:248:;
Coincidence;15:05:30.926:391:936:;
Coincidence;15:05:31.510:359:616:;
Coincidence;15:05:31.545:201:152:;
Coincidence;15:05:31.591:483:008:;
Coincidence;15:05:33.243:189:072:;
Coincidence;15:05:33.422:785:568:;
Coincidence;15:05:33.525:225:216:;
Coincidence;15:05:34.421:317:536:;
Coincidence;15:05:34.472:823:936:;
Coincidence;15:05:34.559:142:400:;
Coincidence;15:05:34.838:137:792:;
Coincidence;15:05:34.878:267:008:;
Coincidence;15:05:35.565:458:816:;
Coincidence;15:05:36.635:008:512:;
Coincidence;15:05:36.661:311:552:;
Coincidence;15:05:36.857:493:120:;
Coincidence;15:05:37.330:731:296:;
Coincidence;15:05:37.801:725:760:;
Coincidence;15:05:38.238:175:808:;
Coincidence;15:05:38.519:753:184:;
Coincidence;15:05:39.026:299:626:;
Coincidence;15:05:39.205:501:744:;
Coincidence;15:05:39.395:127:648:;
Coincidence;15:05:39.620:686:976:;
Coincidence;15:05:40.410:562:400:;
Coincidence;15:05:40.531:130:848:;
Coincidence;15:05:40.572:299:904:;
Coincidence;15:05:40.703:847:232:;
Coincidence;15:05:41.121:731:024:;
Coincidence;15:05:41.291:413:568:;
Coincidence;15:05:41.974:629:824:;
Coincidence;15:05:41.996:366:976:;
Coincidence;15:05:42.316:511:936:;
Coincidence;15:05:42.634:940:864:;
Coincidence;15:05:43.819:684:224:;
Coincidence;15:05:44.337:018:816:;
Coincidence;15:05:44.742:751:680:;
Coincidence;15:05:45.860:115:648:;
Coincidence;15:05:46.067:819:328:;
Coincidence;15:05:46.290:979:136:;
Coincidence;15:05:46.350:588:928:;
Coincidence;15:05:46.410:453:440:;
Coincidence;15:05:46.661:081:792:;
Coincidence;15:05:46.978:366:912:;
Coincidence;15:05:47.338:471:712:;
Coincidence;15:05:47.655:324:608:;
Coincidence;15:05:48.444:491:392:;
Coincidence;15:05:49.583:305:664:;
Coincidence;15:05:49.802:346:560:;
Coincidence;15:05:50.115:275:520:;
Coincidence;15:05:50.192:258:816:;
Coincidence;15:05:50.534:641:024:;
Coincidence;15:05:50.712:521:280:;
Coincidence;15:05:50.780:564:416:;
